"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensgene","symbol"
"1398","ENSG00000092445.12",602.127040723433,-0.868300871147166,0.165429659971417,-5.24876174742298,1.53124958529131e-07,6.60646763592312e-07,"ENSG00000092445","TYRO3"
"1399","ENSG00000092470.12",863.884268355923,0.252121046305959,0.144676560300142,1.74265303089123,0.0813942407233924,0.12739423289149,"ENSG00000092470","WDR76"
"1400","ENSG00000092531.10",678.822788403122,-0.91906280498994,0.155765675426573,-5.90029094967833,3.62861115914557e-09,1.84197723979686e-08,"ENSG00000092531","SNAP23"
"1401","ENSG00000092607.15",931.125153841468,1.05398227825478,0.142404298239956,7.40133753883456,1.34819550418486e-13,1.00445505151894e-12,"ENSG00000092607","TBX15"
"1402","ENSG00000092621.13",963.164694497729,0.195160574949332,0.132422124587704,1.47377619530698,0.140541859652657,0.203717383862044,"ENSG00000092621","PHGDH"
"1403","ENSG00000092820.19",4900.62946158636,0.316449792805594,0.0853597159076456,3.70724983606992,0.00020952221953251,0.000583147581142871,"ENSG00000092820","EZR"
"1404","ENSG00000092841.19",11810.7518417896,0.0217416770723325,0.0705204562242517,0.308303125595146,0.757851687928171,0.814987539773126,"ENSG00000092841","MYL6"
"1405","ENSG00000092847.14",1139.35269571735,-0.92589239553358,0.134088794193647,-6.90506914542337,5.01789804651712e-12,3.28735523457533e-11,"ENSG00000092847","AGO1"
"1406","ENSG00000092853.14",1573.43545951216,0.858511016180263,0.111127224551306,7.72547878925835,1.11433696278929e-14,8.97165605102418e-14,"ENSG00000092853","CLSPN"
"1407","ENSG00000092871.17",899.693225710505,0.563558127313908,0.136760895036974,4.12075489240948,3.77633015354091e-05,0.00011872561177129,"ENSG00000092871","RFFL"
"1408","ENSG00000092931.12",525.833635714676,-0.243992392446805,0.171117329749053,-1.4258777460157,0.153903634135068,0.220202704776416,"ENSG00000092931","MFSD11"
"1409","ENSG00000092964.18",2514.23729398815,-0.67604948530141,0.106208744753843,-6.36529022980425,1.94920804218896e-10,1.12014355271321e-09,"ENSG00000092964","DPYSL2"
"1410","ENSG00000092969.12",1246.54858091453,0.792558018124195,0.121385218484333,6.52927949564544,6.6086826890358e-11,3.94369789282216e-10,"ENSG00000092969","TGFB2"
"1411","ENSG00000092978.11",514.237283745562,0.556414636017295,0.175741312029226,3.16610038694125,0.00154497465022988,0.00368232129444175,"ENSG00000092978","GPATCH2"
"1412","ENSG00000093000.19",2157.1178596926,0.0796574529821049,0.103935126305574,0.766415126565668,0.443429335097077,0.531497347737472,"ENSG00000093000","NUP50"
"1413","ENSG00000093009.11",640.571217539321,0.552204816701582,0.158801684876914,3.47732341208843,0.00050644653190255,0.00132481674064707,"ENSG00000093009","CDC45"
"1414","ENSG00000093010.15",1523.25150796096,0.386137479546808,0.113628059299638,3.39825815847615,0.000678163926461646,0.00172951133172647,"ENSG00000093010","COMT"
"1415","ENSG00000093100.13",86.8356780093401,1.87604935754477,1.19356938497052,1.57179748506293,0.115997524991541,0.173052337510726,"ENSG00000093100",""
"1416","ENSG00000093144.19",1316.11105637911,-0.103044628118043,0.119505605894568,-0.8622576936596,0.38854572783299,0.477324438903833,"ENSG00000093144","ECHDC1"
"1417","ENSG00000093167.18",1321.22878471016,0.125594190976206,0.116880332208091,1.07455367899367,0.282574599790183,0.366976164145119,"ENSG00000093167","LRRFIP2"
"1418","ENSG00000093183.14",815.65175148718,-0.71085526165229,0.144945036181986,-4.9043091117641,9.3756746444712e-07,3.66601991430494e-06,"ENSG00000093183","SEC22C"
"1419","ENSG00000094631.22",739.227220440922,-0.182173979727533,0.155446679568959,-1.17193870099179,0.24122166771154,0.321715194993221,"ENSG00000094631","HDAC6"
"1420","ENSG00000094804.12",1392.77035531383,0.942718853356045,0.122945298177645,7.66779102031134,1.7498367429724e-14,1.39079063942149e-13,"ENSG00000094804","CDC6"
"1421","ENSG00000094841.14",309.283824666488,-0.317441192137023,0.240149881688243,-1.32184613169669,0.186219393219386,0.259080800494202,"ENSG00000094841","UPRT"
"1422","ENSG00000094880.11",809.967782620127,0.422554203322103,0.150423627957906,2.80909461537751,0.00496810433932134,0.0105946435596168,"ENSG00000094880","CDC23"
"1423","ENSG00000094914.14",769.162372660531,-0.0284172456359907,0.1439603071993,-0.19739639480381,0.843517350649248,0.883492978581113,"ENSG00000094914","AAAS"
"1424","ENSG00000094916.16",3574.60492594296,-0.32542974022193,0.091965069380982,-3.53862333179762,0.000402219339540368,0.00106689252231497,"ENSG00000094916","CBX5"
"1425","ENSG00000094975.14",1758.67725339779,1.815921546777,0.114930382873157,15.8001870469808,3.10194826341767e-56,1.17590126880677e-54,"ENSG00000094975","SUCO"
"1426","ENSG00000095002.15",898.286021559428,0.270235193408828,0.135913730204746,1.98828472297636,0.0467802094092693,0.0790246347165949,"ENSG00000095002","MSH2"
"1427","ENSG00000095015.6",429.596994288892,0.163734873646782,0.191039325593514,0.85707418165394,0.391403888838389,0.479889232417466,"ENSG00000095015","MAP3K1"
"1428","ENSG00000095059.17",1016.98453161596,-0.166145481182831,0.135703200285475,-1.22432986719042,0.220827814257214,0.299518041425141,"ENSG00000095059","DHPS"
"1429","ENSG00000095066.12",254.835155128292,-0.497700779257672,0.245715571251832,-2.02551583003905,0.0428144246516498,0.0729979739105655,"ENSG00000095066","HOOK2"
"1430","ENSG00000095139.15",5038.52248325007,0.0281012593862488,0.0890744549765982,0.315480565035527,0.752396805076558,0.810836799765939,"ENSG00000095139","ARCN1"
"1431","ENSG00000095209.12",529.900627014458,0.408879892616541,0.170967588594391,2.39156378105432,0.0167767687209323,0.0318476667129835,"ENSG00000095209","TMEM38B"
"1432","ENSG00000095261.14",1450.86338828662,0.227154330399343,0.115213832535183,1.97158904795547,0.04865653845411,0.08177428156482,"ENSG00000095261","PSMD5"
"1433","ENSG00000095303.17",572.229591994847,0.316775125614952,0.177509520374175,1.7845528788947,0.0743338704148558,0.117792825380328,"ENSG00000095303","PTGS1"
"1434","ENSG00000095319.14",3408.82182022104,-0.137838928044882,0.0903511882044314,-1.52559065114897,0.127111841841626,0.186694474299304,"ENSG00000095319","NUP188"
"1435","ENSG00000095321.18",1415.59552210305,-0.810203663998338,0.129002704122659,-6.28051690473074,3.37449185114308e-10,1.89252469264458e-09,"ENSG00000095321","CRAT"
"1436","ENSG00000095380.11",682.89291766272,-0.100848162117773,0.151020305502452,-0.667778824723246,0.504274785245031,0.589628019795634,"ENSG00000095380","NANS"
