"","Geneid","Ctrl1","Ctrl2","Ctrl3","Ctrl4","SBMA_1","SBMA_2","SBMA_3","SBMA_4","SBMA_5","SBMA_6","SBMA_7","SBMA_8","SBMA_9","ensgene","symbol"
"3101","ENSG00000114948.13",537.609992948096,399.571934040485,386.964021327158,365.903596411064,763.427342184813,603.234027712166,728.779030773524,167.072825415601,571.150935672998,925.517416591153,1072.93665560368,402.223527773312,661.790981478894,"ENSG00000114948","ADAM23"
"3102","ENSG00000114956.20",216.404315758324,233.303225075312,251.042741244855,280.726365324399,284.449394927008,285.755176633487,280.23415305878,323.199407034696,244.831094252448,282.388944536251,202.531595429201,293.900716639812,328.832119202132,"ENSG00000114956","DGUOK"
"3103","ENSG00000114978.18",881.781519982542,1061.15313377962,999.311547787832,1159.87560843429,875.543160095428,1164.5762924679,1081.92135268188,1026.01226039771,1063.50797426505,1153.40548998696,1019.52145135114,893.229970206282,1326.16817208172,"ENSG00000114978","MOB1A"
"3104","ENSG00000114982.19",3228.29258135236,2459.73238338944,3033.54823193195,3180.55934342821,2249.52175270209,1573.52490416246,2110.21870742647,2008.10948780701,2082.96446858429,2154.96936722827,1969.15394469505,1940.75257884526,1861.57989871425,"ENSG00000114982","KANSL3"
"3105","ENSG00000114988.12",592.942991973177,421.043070877171,571.185486878696,655.782869476554,528.479007562696,384.453465499472,392.556783918726,606.714170068398,614.251857635146,480.056825682946,380.428578301,554.885371611357,364.986844107033,"ENSG00000114988","LMAN2L"
"3106","ENSG00000114993.17",191.353187922348,186.676580461489,220.659067901507,273.829382838814,292.698831200528,375.963360611261,240.796812848638,229.07061545556,143.720547594774,301.521117769235,281.019966330245,217.363297734567,355.802934731681,"ENSG00000114993","RTKN"
"3107","ENSG00000114999.8",1657.33268301832,1212.90994144763,1075.67685779629,1715.90224593819,1434.98628109788,1687.55490429202,1304.5778962067,1395.13335416151,1144.76119914573,1651.92568366962,1226.22565353927,1201.33263014105,1788.81951581092,"ENSG00000114999","TTL"
"3108","ENSG00000115020.17",1119.53583241683,1120.21500759182,674.511393343026,872.875761194056,890.048212823896,710.883868565191,1031.65938938792,613.063271875196,854.350439883544,938.968090573961,896.871076109789,854.447588972761,978.177216130789,"ENSG00000115020","PIKFYVE"
"3109","ENSG00000115042.10",689.015096337319,666.235757159576,665.991061710718,777.419262596716,696.871388202067,783.37390019037,598.566319309811,1077.66617181378,718.603311232333,881.206808677042,706.905202400266,918.321929581785,689.835204463222,"ENSG00000115042","FAHD2A"
"3110","ENSG00000115053.17",7858.25086333946,10091.2515138768,9413.28511801159,8773.2223838601,9313.98522525927,12432.6626661499,10222.9188747445,9337.34455767575,9195.19477481685,8389.21632741164,8889.51493105277,8626.08902596374,8984.32611230322,"ENSG00000115053","NCL"
"3111","ENSG00000115073.8",1782.94681759455,1967.11648483084,2168.02195212728,2040.78612562457,1827.21952572797,1364.30252915133,1743.14824389212,1936.71789728251,2097.09052070992,1624.29040896292,1775.99223842147,1849.40863748916,1710.13821021083,"ENSG00000115073","ACTR1B"
"3112","ENSG00000115084.15",1630.03297926309,1368.49260356298,1460.98852258529,1594.41768859115,1676.63000985337,2064.89001569735,1192.14610111533,1611.64086303158,1571.0918450588,1591.45907630636,1741.49002294812,1543.81454746359,1956.42757411517,"ENSG00000115084","SLC35F5"
"3113","ENSG00000115091.12",1498.95061137276,1398.4034328791,1406.00383033091,1444.36753474356,1758.4584285951,2345.4470609014,1906.51946546783,1952.44874180764,1872.79454495696,2036.22340915506,1687.19000615282,1743.31273563416,2314.48788482912,"ENSG00000115091","ACTR3"
"3114","ENSG00000115107.20",1174.15604225649,1082.6808335855,917.708636181236,1140.55840259432,1092.72728997507,716.920675227098,1127.3295614274,960.904456232399,1121.78292800202,1049.25250969565,1073.11625836008,1094.60534807866,1073.27518158799,"ENSG00000115107","STEAP3"
"3115","ENSG00000115109.14",677.301725620559,874.016573822018,970.700304965712,559.384256708417,779.753804522782,530.789936627445,620.336171479228,566.923278011928,622.863325185338,464.766959872347,591.016801605886,733.710236636509,381.674300528428,"ENSG00000115109","EPB41L5"
"3116","ENSG00000115128.7",689.323643988943,704.186188471015,627.160964217888,764.211707912024,616.248750994098,580.900752619608,634.089319499519,746.805511024288,704.334526683329,628.910725109552,492.982097963572,670.665057784311,648.596434844204,"ENSG00000115128","SF3B6"
"3117","ENSG00000115129.14",49.312083301113,59.6102628169027,83.356168195358,112.780070266983,294.631834833559,843.515870620728,484.436708271757,94.9890140869157,141.365711337968,496.414591453091,332.701902169372,248.837310450729,348.014816402752,"ENSG00000115129","TP53I3"
"3118","ENSG00000115137.12",337.076007628448,279.674988758836,348.81268277607,329.783343632981,296.96427105997,199.706973415274,246.930981261053,276.125813294496,346.383472387809,371.773206725327,294.593780826049,379.264980698746,257.098317205374,"ENSG00000115137","DNAJC27"
