Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q9H446	RWDD1	0.109226500428774	31060.1170726103	35840.6611328125	-0.206574235121069	0.199838238660158
P06213	INSR	0.109429616183516	5846.61735983456	9758.57690429688	-0.739216430463031	0.200141500134891
P01717	IGLV3-25	0.109604136083864	153505.688534007	51583.0480957031	1.57329522000362	0.200392272014083
P50238	CRIP1	0.109670174413212	92182.8960248162	30699.6923828125	1.58622789960452	0.200444600590781
P98170	XIAP	0.109787821895046	15569.3936695772	8110.908203125	0.940599530009319	0.20059118754835
Q9NSE4	IARS2	0.110054315313351	360223.871323529	297502.5	0.275987147755624	0.201009535333659
P51580	TPMT	0.110513260072231	53288.205882353	34729.953125	0.61759425769253	0.201721176952633
P56537	EIF6	0.110519255993276	151867.806066177	114829.912109375	0.403305007166255	0.201721176952633
A2A2Y4	FRMD3	0.110572261435399	47447.9662224265	73159.4345703125	-0.624717394802049	0.201749184097219
P15531	NME1	0.111042898927966	184312.119025735	148728.7421875	0.309457756463271	0.202538920516553
Q9H361	PABPC3	0.111209403350656	6070.04877427045	3331.66082763672	0.865033610311051	0.202773578539641
O95218	ZRANB2	0.111390498116776	11988.5458697151	6459.60479736328	0.891915548586384	0.202937613524598
Q5T5U3	ARHGAP21	0.111394842109344	4921.60940372243	2708.47247314453	0.861118174819237	0.202937613524598
Q8IWX8	CHERP	0.111450897701954	6463.98154584099	2790.04162597656	1.21161943819909	0.202937613524598
Q99653	CHP1	0.111418786728651	36081.0718060662	30628.1411132813	0.236337283011698	0.202937613524598
P16383	GCFC2	0.111717864665531	19041.5409869026	6744.73681640625	1.49710229916623	0.203354604489721
Q13217	DNAJC3	0.111844646949636	19252.8736787684	12845.9235839844	0.583650875428807	0.203516227482745
Q08431	MFGE8	0.112151495609656	153506.54296875	20972.0209960938	2.87169355924645	0.20400528420405
O43819	SCO2	0.112211598934167	33829.6257467831	15001.5012207031	1.17308416960598	0.204031643785704
O75131	CPNE3	0.112242160581757	385431.566176471	339769.0859375	0.181915890440656	0.204031643785704
P10746	UROS	0.112408706826243	15763.5804515165	11227.8725585938	0.489382177313607	0.204265075464106
P49207	RPL34	0.112499007023293	118225.172334559	64497.642578125	0.874196541407517	0.204359844226444
P49789	FHIT	0.11257153812923	42090.6599264706	57321.0537109375	-0.445590169383178	0.204422281273995
Q16850	CYP51A1	0.112637861066529	8117.46139705882	3515.81750488281	1.20675814632767	0.204422997969263
Q7Z3D6	DGLUCY	0.11268641273161	221414.486428654	109382.087890625	1.01735992089824	0.204422997969263
Q9BY44	EIF2A	0.11266579947271	41391.7243795956	33595.8662109375	0.30101568238464	0.204422997969263
Q9NZZ3	CHMP5	0.112747504907831	16270.4532686121	10844.7243652344	0.585128031652748	0.204464584898866
P05452	CLEC3B	0.112821627773703	191722.166360294	124837.466796875	0.618954602836431	0.204529766491956
Q92614	MYO18A	0.113023641863871	319351.057904412	256527.296875	0.316025255672878	0.204826674379147
Q9Y6V0	PCLO	0.113103556573165	100.688638785306	20.0833301544189	2.25572623918825	0.204902182131364
Q9UBB9	TFIP11	0.113254840513938	10752.7059936523	2762.62231445313	1.96006739885287	0.20510689000445
Q9P287	BCCIP	0.113682848302185	17591.7841581457	11816.4130859375	0.573987554230592	0.20581244283704
P49458	SRP9	0.11406724318211	94079.2998621323	69402.900390625	0.438860581395914	0.206368869208565
Q9H008	LHPP	0.114050077570492	83443.8671875	61387.6064453125	0.442835100536996	0.206368869208565
Q13061	TRDN	0.114115294186444	110958.180606618	165198.64453125	-0.57419454549777	0.206386100930716
P46976	GYG1	0.114340034522117	2771639.36764706	4043572.6875	-0.544891349283428	0.206722769130943
P15289	ARSA	0.11447351540999	12019.7059254366	5420.72021484375	1.14857902879727	0.206894271947138
Q9HCE9	ANO8	0.114570360565917	2185.52164234835	746.872512817383	1.54711339956463	0.206999467639668
Q6DKI1	RPL7L1	0.114610488124608	4459.29138901654	1599.48913574219	1.47830159076738	0.20700215269168
P04083	ANXA1	0.114854359538706	2182126.97426471	705410.359375	1.62919833901962	0.207302831552846
P25686	DNAJB2	0.114820752484884	29684.9493910846	44285.3583984375	-0.577130717922762	0.207302831552846
Q08209	PPP3CA	0.115144506009012	133797.416819853	185979.37109375	-0.475100100523583	0.20775652364105
Q13595	TRA2A	0.115305941497446	48201.1074936811	18383.4223632813	1.39058244702775	0.207977753737986
Q10713	PMPCA	0.115447225527979	87161.9590992647	74066.513671875	0.234857714564529	0.208162499883333
Q9UGM6	WARS2	0.115852678103728	24070.4881663603	19480.5600585938	0.305156189741779	0.208823282840401
O00468	AGRN	0.116292254829422	76649.7774586397	40655.8999023438	0.914781389678364	0.2095451090216
Q6UW02	CYP20A1	0.116338115356625	87367.8736213235	61425.9384765625	0.508231397205746	0.209557257553948
P45381	ASPA	0.116415792221584	155519.861672794	216544.216796875	-0.477569464642989	0.209626688716312
Q9UNS2	COPS3	0.116661415434395	107094.201286765	128482.380859375	-0.262701394793583	0.209998387930799
Q9BYC9	MRPL20	0.116868224328389	44786.2267922794	29656.9458007813	0.59463644946173	0.210229557354548
Q9NRG7	SDR39U1	0.116868325891701	69513.2835477941	95422.939453125	-0.457062553281567	0.210229557354548
Q15800	MSMO1	0.116950978622101	21200.8274931066	15023.0183105469	0.496849849570803	0.210307617481905
Q96CP2	FLYWCH2	0.117004906603676	8071.25801355699	2437.08087158203	1.72704757314822	0.210333988146273
Q02818	NUCB1	0.117145525420408	6717.45795036765	1425.46899414063	2.23546699664083	0.210516128707522
Q96S06	LMF1	0.117327982200213	19020.2540785846	13407.1286621094	0.504428620233792	0.210759981267702
Q9UJY1	HSPB8	0.117359907433555	306293.633272059	231959.22265625	0.401037950666611	0.210759981267702
Q13613	MTMR1	0.117447684106233	10357.4919577206	7080.95458984375	0.548455201933092	0.210776296066026
Q9Y487	ATP6V0A2	0.117427639683904	19759.5075827206	13948.3117675781	0.502353050664179	0.210776296066026
P47897	QARS1	0.117735110987031	284944.576286765	244071.51171875	0.223371509270693	0.211221362879278
Q9H4B0	OSGEPL1	0.118257825062294	14181.0437729779	8115.79766845703	0.804981167458122	0.212088104740111
O95232	LUC7L3	0.118551689751044	59065.5443474265	38012.2065429688	0.635816058753465	0.212338941341714
O95563	MPC2	0.118556239229619	308052	238989.6328125	0.366219829065261	0.212338941341714
P15586	GNS	0.118456016275059	44249.7287454044	26846.7426757813	0.72086781804262	0.212338941341714
Q8TCS8	PNPT1	0.118525979651409	105008.376378676	78137	0.426408180089966	0.212338941341714
O75394	MRPL33	0.118686808980205	20816.8021599265	13368.34765625	0.638819389107236	0.212501749902058
P45973	CBX5	0.11880757368979	34595.3413373162	12472.1950683594	1.47174670965748	0.212605158936924
Q8WVB3	HEXD	0.118823939865064	7789.52644258387	11444.3000488281	-0.555147756248527	0.212605158936924
Q86SZ2	TRAPPC6B	0.118906503519677	25925.4295726103	15680.6965332031	0.725286247364173	0.212681849534193
O43920	NDUFS5	0.119159400749396	930060.632352941	1347900.25	-0.535318129278089	0.212920917216316
Q96I59	NARS2	0.119144319766417	44291.4579503677	35705.9462890625	0.310823729689965	0.212920917216316
Q96L91	EP400	0.119129397340093	1771.94193402459	604.886291503906	1.54821235869595	0.212920917216316
P46779	RPL28	0.119568196640756	174623.557904412	111939.33984375	0.641518168676901	0.213580136513682
O00339	MATN2	0.120012357618375	25588.3528262868	12281.7747802734	1.05885076693313	0.214302066587211
Q15363	TMED2	0.120150328770286	101273.287683824	74269.58203125	0.447390902983973	0.21447694475922
Q9Y4K3	TRAF6	0.120266065671891	33963.5437729779	18176.2221679688	0.901855253661648	0.21461202991483
Q96C23	GALM	0.120369514426277	181897.025275735	128892.80078125	0.496939071352827	0.214725104489367
Q9NQ29	LUC7L	0.120507990609939	24560.4883961397	5418.23120117188	2.18017914623609	0.214900567808736
Q04446	GBE1	0.120667924723761	676924.294117647	495514.9921875	0.450062875220263	0.215042605703655
Q9H7N4	SCAF1	0.120646765928277	6361.64220473346	1566.12353515625	2.02128032240021	0.215042605703655
O95716	RAB3D	0.120832183960769	20671.8091107537	11340.6672363281	0.866031919487106	0.215192157406198
Q9Y3A5	SBDS	0.12081770737612	442856.755514706	525330.921875	-0.246389126258357	0.215192157406198
P30740	SERPINB1	0.121186005037318	431726.224264706	335767.17578125	0.362651231172595	0.215750557987675
Q86VD7	SLC25A42	0.121253618423142	14284.8813620175	7103.77130126953	1.00762893877732	0.215799213917864
O00194	RAB27B	0.12145155587564	25600.8682789522	13876.3344726563	0.883462256602826	0.215936271100499
O95433	AHSA1	0.121431337528312	130473.954503677	105330.986328125	0.308818233250848	0.215936271100499
P62136	PPP1CA	0.121392260472384	112803.005744485	72978.705078125	0.628238284343652	0.215936271100499
A0A075B6J9	IGLV2-18	0.121507768323824	18741.7518956801	2524.82989501953	2.89142642850369	0.215964537130301
P53384	NUBP1	0.12180703271436	50189.2842371324	37097.4990234375	0.436018553880617	0.216424634909063
Q14767	LTBP2	0.121873888178697	42453.8803423713	6644.68408203125	2.67540680616684	0.21647162432801
Q01484	ANK2	0.121997208322479	68900.7375919118	46265.5517578125	0.57454984829133	0.216618841559005
P10114	RAP2A	0.122265003942981	19804.6578584559	14110.3046875	0.488988396515291	0.21687868414654
P61225	RAP2B	0.122235046790954	68243.3313993566	41873.4260253906	0.704618660163139	0.21687868414654
Q8NCW5	NAXE	0.122243575824119	269069.576286765	340364.90625	-0.339107257893349	0.21687868414654
Q13404	UBE2V1	0.122476865861801	1098998.81985294	1418093.1875	-0.367763520141487	0.217182578755931
Q06587	RING1	0.122842828229085	7409.99207261029	1852.28161621094	1.9993898757286	0.217759441040108
Q8IZ73	RPUSD2	0.122993654250518	4645.2212488511	1321.77941894531	1.81217480886517	0.217954682705929
Q6P1X6	C8orf82	0.123156097257963	46973.9348575368	34414.9296875	0.448783966226425	0.21817037467292
P29144	TPP2	0.123381601486838	214173.362132353	250804.78515625	-0.227791570455488	0.218497599723965
Q86VF2	IGFN1	0.123435587556311	135914.15625	73599.5849609375	0.884906591355134	0.218520965809371
