Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q69YN2	CWF19L1	0.00208284123212077	14310.7715130974	2055.01672363281	2.79917754723858	0.0119652425576615
Q8TDN6	BRIX1	0.00208671599845265	5436.50600298713	641.09619140625	3.08181839475269	0.0119652425576615
P07998	RNASE1	0.00211480114800227	8000.85949707031	982.516632080078	3.02413363570474	0.0121036215276156
Q15942	ZYX	0.00212189437051268	28634.0678998162	10644.5046386719	1.42748830060212	0.0121312573562822
P30520	ADSS2	0.00214294508715908	123743.015165441	68631.57421875	0.85038172037797	0.0121761421341124
P31948	STIP1	0.00213767769828999	761265.400735294	1067554.28125	-0.487839364119813	0.0121761421341124
P55854;P61956;Q6EEV6	SUMO3;SUMO2;SUMO4	0.00214190593327902	507148.298713235	216767.7109375	1.22625114859589	0.0121761421341124
Q96QK1	VPS35	0.00214338286960388	352987.088235294	228305.97265625	0.628640491571426	0.0121761421341124
Q9BZ67	FRMD8	0.00213264109215366	7482.35357306985	659.738647460938	3.50134050358296	0.0121761421341124
Q9NR09	BIRC6	0.00213480180749172	6405.79194910386	3230.06195068359	0.987368529871612	0.0121761421341124
O43617	TRAPPC3	0.0021499292447358	43947.7534466912	24401.9189453125	0.848735693020906	0.0122003929703916
Q8WWI5	SLC44A1	0.00215755869337352	14891.1336167279	5075.89901733399	1.55243411672021	0.0122307321909015
Q9ULV4	CORO1C	0.00216920403122743	172256.055606618	60768.126953125	1.50314423080949	0.0122837484093925
Q92599	SEPTIN8	0.00220351589269605	43671.4009076287	9885.03039550781	2.14322556387931	0.0124648729009216
Q12965	MYO1E	0.00220859039324078	275171.622242647	148133.314453125	0.89342582493781	0.0124672484052591
Q14980	NUMA1	0.00220829296010374	48110.9065946691	19913.0095214844	1.27258026055821	0.0124672484052591
P63104	YWHAZ	0.00222669423452384	1579557.85661765	810159.296875	0.963241491182456	0.0125562115940465
Q99424	ACOX2	0.00223796058111405	16685.1589211857	3496.22595214844	2.25428251263502	0.0126064719590199
P33316	DUT	0.0022435930902467	51128.1602136949	23008.353515625	1.15189766396591	0.0126249245634996
P19338	NCL	0.00227122204535402	893120.852941177	422920.6953125	1.0784648367338	0.0127669847817015
Q96SB4	SRPK1	0.00227559766728085	24089.4927045037	9890.04602050781	1.28420900713986	0.0127781726453077
P25205	MCM3	0.00228683639948498	22262.2551700368	9945.76513671875	1.16230042812313	0.0128278351749121
Q02809	PLOD1	0.00229251207691607	10731.2487792969	1906.88186645508	2.49177422068245	0.0128327974880245
Q8N142	ADSS1	0.00229215402756916	2190458.91360294	4298871.4375	-0.972725146865068	0.0128327974880245
Q16186	ADRM1	0.0023020198177277	62506.9820772059	36018.7548828125	0.795228985276175	0.0128725680204251
P61457	PCBD1	0.00232113467199181	186817.113511029	354390.1484375	-0.923715950235073	0.012965921207362
Q9NT62	ATG3	0.00233072894608203	54635.4617417279	30062.4838867188	0.861825447409448	0.0130059530876681
P68371	TUBB4B	0.00235648083358791	9163025.32352941	6948905.25	0.399038089337323	0.0131359706821336
P11940	PABPC1	0.00236516009558232	331674.359375	226957.60546875	0.547338295340056	0.0131706472266471
Q8IWA4	MFN1	0.00239130870568518	25514.6714154412	16701.4565429688	0.611266757243311	0.0133024306711895
P40123	CAP2	0.00239507777351051	1453414.47794118	2006513.625	-0.465245488943855	0.0133095763824645
Q15653	NFKBIB	0.0024129498254734	3633.17740047679	262.23388671875	3.78681468358946	0.0133949971140529
P62917	RPL8	0.0024154748718184	83653.2090992647	44642.912109375	0.905957431014836	0.0133951334247735
Q9BZL1	UBL5	0.00243031915273926	99456.6493566177	249625.19921875	-1.32762962505878	0.0134635157199837
P15259	PGAM2	0.00244770162789856	8759892.63235294	21776419.5	-1.31378173816471	0.0135458033271204
Q9Y5R8	TRAPPC1	0.00247169817554889	36676.6485523897	22611.0043945313	0.697772931534856	0.0136644861985711
Q92597	NDRG1	0.00247636255587339	29157.8145392923	10443.8173828125	1.48109532109603	0.0136761589812513
O95236	APOL3	0.00249473649167906	77082.9216452206	20264.62109375	1.92737686332061	0.0137634432398813
Q8IWC1	MAP7D3	0.00250146998479809	67706.985926011	128686.861328125	-0.926499373498318	0.0137863937330899
P61011	SRP54	0.00250651411619545	37037.3344439338	20714.552734375	0.838265957427197	0.0137999960128047
P49773	HINT1	0.00251503202788477	187401.2109375	330984.76953125	-0.820638915500706	0.0138326761533662
Q6PIU2	NCEH1	0.00252883091515821	135435.721966912	68580.68359375	0.981713082229193	0.0138943048333359
P49959	MRE11	0.0025374526832183	40381.0435431985	23556.0971679688	0.777516420368161	0.0139273914180332
Q13698	CACNA1S	0.00255728131239892	414001.168198529	778186.515625	-0.910482996878971	0.0140218587415773
Q6P4A8	PLBD1	0.00256829507239207	14632.4027745864	6336.36285400391	1.20721216627009	0.0140678493893705
P05771	PRKCB	0.0025753688198886	9741.43692555147	2281.69702148438	2.09339520914657	0.0140921866886039
P19388	POLR2E	0.00258441598556651	25289.4438189338	14596.462890625	0.792817665164861	0.0141272616680406
Q96HY6	DDRGK1	0.00259927083466037	81633.4912683824	51137.185546875	0.674760186546228	0.0141939794712289
Q92890	UFD1	0.00261824328126757	207388.719669118	145048.00390625	0.515797036749966	0.0142830236840635
O75112	LDB3	0.00262282227891833	18697866.5294118	34974108.5	-0.903413659797843	0.0142934475566282
P62701	RPS4X	0.00262895629303767	861539.354779412	588588.0546875	0.5496559853081	0.0143123159164663
Q6PGP7	TTC37	0.00263807859090416	31706.7188648897	21895.1650390625	0.53411037549412	0.0143473979811915
Q9BZG1	RAB34	0.00265070384805729	28953.0047535616	1971.61437988281	3.87553221854268	0.0144014406836135
P48788	TNNI2	0.00265622396183889	8076641.94852941	21249846.5	-1.39562499897198	0.0144022183841811
Q969E4	TCEAL3	0.00265575630325764	24361.1380399816	4600.71032714844	2.40433945548591	0.0144022183841811
Q5HYI7	MTX3	0.00269011567658979	12748.2499712776	3668.1083984375	1.79679778063447	0.0145712332451886
P18077	RPL35A	0.00269845597563851	188249.717601103	93846.015625	1.00426492808736	0.0146016451126217
P40763	STAT3	0.00270962436901658	134743.201286765	78847.28125	0.773061268685343	0.0146468288597072
P43304	GPD2	0.00271227445003352	428635.087316177	834033.6875	-0.960357435266825	0.0146468288597072
P25685	DNAJB1	0.00272052000070794	277186.817555147	129506.552734375	1.09782241073357	0.0146765615748161
P04843	RPN1	0.00272930547618768	744651.025735294	557593.4921875	0.417348166785094	0.0147091443017479
O14949	UQCRQ	0.00274055557477025	197908.170840993	447213.03125	-1.17613427640355	0.0147253322106762
P08708	RPS17	0.00273825653827699	238186.624080882	132364.45703125	0.847565721626385	0.0147253322106762
P55795	HNRNPH2	0.00273637550706657	79594.9933363971	47437.99609375	0.746604205766914	0.0147253322106762
Q460N5	PARP14	0.00277068233984504	20412.4236845129	2499.5984171629	3.02910219995907	0.0148574026972471
Q9HCD5	NCOA5	0.00277013487944997	13662.7648494945	1828.73681640625	2.90054140665001	0.0148574026972471
Q13951	CBFB	0.00281144244587045	46944.3506433824	31046.2397460938	0.596486540757757	0.0150458513311968
Q9BZG8	DPH1	0.00281056528181491	22407.5009191176	12191.6647949219	0.877968283988094	0.0150458513311968
Q9BTV4	TMEM43	0.00281895922179042	445245.765625	196279.27734375	1.18168667603167	0.0150710225061191
P22413	ENPP1	0.00283389523770672	17148.1373075597	7594.58959960938	1.17481801231353	0.015135769479955
O75110	ATP9A	0.00285234805804426	19549.214240579	2224.9140625	3.13464082145864	0.0152191519391863
Q9Y237	PIN4	0.00288672721307749	40603.6971507353	93486.2109375	-1.20315792031453	0.0153872613735882
P21817	RYR1	0.00290810287288316	1638078.91176471	2850511.375	-0.799216406572104	0.015485792336019
P31483	TIA1	0.00292736302591941	73211.2743566177	45608.572265625	0.682729196696374	0.0155728736145485
Q9BTZ2	DHRS4	0.00293300957350829	308807.846966912	172333.83984375	0.841495021124949	0.0155874328227023
O43776	NARS1	0.00295540746239659	344324.697610294	225716.43359375	0.609251814429728	0.0156865369461664
Q9UKV3	ACIN1	0.00295751396595633	64922.6337316177	30595.9028320313	1.08533590354991	0.0156865369461664
Q9NP98	MYOZ1	0.00297341960923107	8868412.84558824	20465493	-1.20644565350283	0.0157553005407031
O00178	GTPBP1	0.00300518677936807	32144.0086167279	17958.8188476563	0.839777057563692	0.0157955592088415
O43491	EPB41L2	0.00299494556631418	287929.064338235	98938.705078125	1.54109192159486	0.0157955592088415
P30039	PBLD	0.00299061455312605	6992.23049747243	1522.25024414063	2.19859977218955	0.0157955592088415
P35658	NUP214	0.00298991135697189	30139.9245749081	10152.5783691406	1.56968754858661	0.0157955592088415
P36871	PGM1	0.00300530576123854	6292845.94852941	14248330.75	-1.17900848214488	0.0157955592088415
P61601	NCALD	0.00300389751690971	13670.4850356158	3711.16870117188	1.88073025039919	0.0157955592088415
Q58WW2	DCAF6	0.00300621514492518	137326.135110294	221679.66015625	-0.690876695293624	0.0157955592088415
Q8NBS9	TXNDC5	0.00300755467482142	316523.881204044	68862.302734375	2.20050707232871	0.0157955592088415
Q9H2F3	HSD3B7	0.00298528221886858	15433.2076487822	1104.15393066406	3.80371871024188	0.0157955592088415
O14972	VPS26C	0.0030127132339354	29273.2313878676	10571.1358642578	1.46931513897308	0.0158071545486699
O00712	NFIB	0.00302793026011503	146827.397058824	78631.91796875	0.900915893929024	0.015871450492599
P57772	EEFSEC	0.00303685115905008	37109.7850413603	18786.7907714844	0.98200421188419	0.0159026506930902
Q8WWM7	ATXN2L	0.00304968573996578	19843.3152573529	6876.88977050781	1.52861517984082	0.0159386990331675
Q9BR39	JPH2	0.00304947806327434	523886.209558824	873566.328125	-0.737665413780411	0.0159386990331675
Q9H3M7	TXNIP	0.00305755747482934	55066.3987247243	15752.2119140625	1.80552625214466	0.0159642645152639
Q9NRI5	DISC1	0.00306773216714163	335028.623621324	840168.140625	-1.32639543724475	0.0160017928134155
P49792	RANBP2	0.00307483569547142	45663.5968520221	32299.7841796875	0.499475312673884	0.0160224471162836
Q14161	GIT2	0.00307767371339477	21996.868738511	11114.4765625	0.98472836677168	0.0160224471162836
P35659	DEK	0.00308727836149743	147291.294347427	64734.4794921875	1.18604363226731	0.0160568448374192
Q6VY07	PACS1	0.00309085382547533	34082.3380055147	8761.48205566406	1.95961281622189	0.0160598486353747
P22626	HNRNPA2B1	0.00309874084988542	2671155.82352941	1675373.65625	0.672980384098796	0.0160852274542987
Q9ULH1	ASAP1	0.00312000295934355	13909.7518095129	2196.89712524414	2.66190091202102	0.0161799185413392
P14222	PRF1	0.00313416861701657	7221.60065235811	647.090148925781	3.47805223269021	0.0162376608136922
O00148	DDX39A	0.00314190624342341	33666.8630514706	14827.205078125	1.18298532939073	0.0162620210106466
P52758	RIDA	0.00315251976025332	90855.8943014706	177181.5234375	-0.963584291496204	0.0162681527736408
P62841	RPS15	0.00315388582376338	51180.4230238971	28643.8857421875	0.837314488594782	0.0162681527736408
Q08AE8	SPIRE1	0.00314841578480621	5310.53818646599	1023.42822265625	2.37403917128026	0.0162681527736408
Q9Y5X2	SNX8	0.00315523814295554	15941.6181066176	5892.56744384766	1.43558498983417	0.0162681527736408
Q9BQ69	MACROD1	0.0031798435893926	961693.12132353	2245032.28125	-1.22308832724514	0.0163792520272848
Q96A32	MYLPF	0.00318495273242544	77231312.0588235	213170640	-1.46475096990885	0.0163898095942392
Q9GZM8;Q9NXR1	NDEL1;NDE1	0.0031900584092211	4758.88614430147	3215.63385009766	0.565072215481423	0.0164003290769649
Q14232	EIF2B1	0.00320126387631567	93402.4558823529	77193.814453125	0.274956546025852	0.0164421578000221
O60341	KDM1A	0.00321083826550904	26974.3797104779	17204.1750488281	0.648747214179547	0.0164755369620038
Q0VDG4	SCRN3	0.00321779605214513	79878.6468290441	132853.6484375	-0.73396690865283	0.0164954387094177
O14579	COPE	0.00326624286483735	61679.6282169118	25843.6791992188	1.25492677448488	0.0167265633648644
Q9UBI9	HECA	0.00326912672074165	8488.90141683466	8.73341274261475	9.76841641206993	0.0167265633648644
P11413	G6PD	0.00328736828034102	244968.183823529	96795.2080078125	1.33957194974789	0.0168038472116287
Q12769	NUP160	0.00329374310935181	13501.5633903952	9294.29028320313	0.538554646373857	0.0168203830665373
Q9UG56	PISD	0.00329759290768325	24967.8933249081	11442.2501831055	1.1255772249422	0.0168240049585325
P21796	VDAC1	0.00334109156910129	7392888.32352941	11134598.75	-0.590839673845199	0.0170135242734559
Q6P3W7	SCYL2	0.0033405535963718	8465.62715418199	5611.73638916016	0.592912647937536	0.0170135242734559
O15519	CFLAR	0.00334491282717654	7254.61905445772	4683.13110351563	0.631118403469731	0.0170168072318943
Q9NW15	ANO10	0.00335474331968116	34020.5927159927	22686.6538085938	0.584500852501712	0.0170506261513586
Q01780	EXOSC10	0.00335812518189762	10089.7376206342	3206.09008789063	1.65355187316329	0.0170516365871332
Q09666	AHNAK	0.00338205026907447	4830211.73529412	1453713.25	1.73234271874813	0.0171568591774923
Q9UN36	NDRG2	0.00339374524196224	964900.610294118	1350424.6875	-0.484962001879587	0.0171998990172107
Q9Y490	TLN1	0.00339778105471351	790249.948529412	361038.1640625	1.13015369286303	0.0172040766636109
Q38SD2	LRRK1	0.00340829688471321	135936.049172794	80638.0029296875	0.753378392549937	0.0172085263066999
Q9H9C1	VIPAS39	0.00340796633686651	16808.9765625	9204.41235351563	0.868677633589415	0.0172085263066999
Q9Y2U8	LEMD3	0.00340216791703273	19139.8248506434	1620.54406738281	3.5611374913327	0.0172085263066999
Q86WB0	ZC3HC1	0.00345406551237722	6439.15477079504	1361.29037475586	2.24083707755765	0.0174231911015111
P14314	PRKCSH	0.00346041756075808	246573.957720588	158882.5625	0.634050558814361	0.0174327925912707
Q8WW59	SPRYD4	0.00346247737859101	124860.130974265	63800.029296875	0.96866128007496	0.0174327925912707
O43670	ZNF207	0.0034718298150773	55772.3884995404	2259.04077148438	4.62513035250346	0.0174370976060036
Q05DH4	FAM160A1	0.00347904166471226	2952.54311236213	7370.45788574219	-1.31999185002079	0.0174370976060036
Q14185	DOCK1	0.00347411600448252	33411.2438534007	18662.0083007813	0.840152139413339	0.0174370976060036
Q14694	USP10	0.00346854293466971	44094.890625	30432.1987304688	0.534965518507467	0.0174370976060036
Q8TD16	BICD2	0.00347960749315249	1339.30340576172	166.931442260742	2.99553854539262	0.0174370976060036
Q8IXB1	DNAJC10	0.00350224382386804	14771.8230698529	9955.72985839844	0.569103994601987	0.0175341309948234
P12004	PCNA	0.00351223034073879	60472.5882352941	33463.2475585938	0.853660752097107	0.0175677104905114
Q05823	RNASEL	0.00353507785266334	9252.10859949449	5063.47717285156	0.869368858880166	0.0176597634855252
Q9Y285	FARSA	0.00353722722045333	242165.659926471	191064.5546875	0.341926586936258	0.0176597634855252
Q8TEM1	NUP210	0.00356863601412409	37205.5182674632	21044.4792480469	0.822006252467399	0.0177999842901888
Q99729	HNRNPAB	0.00359384956001791	60779.0521599265	40597.3974609375	0.582151395340293	0.0179090717144335
O60231	DHX16	0.00361376053644129	7079.70025275735	1737.28527832031	2.02602341019989	0.0179893182727371
Q5R372	RABGAP1L	0.00361666899005747	19638.2497127757	3107.12744140625	2.6595487887486	0.0179893182727371
P06727	APOA4	0.00362433428910926	57933.6181066177	26360.1157226563	1.1359893348452	0.018010722436696
Q9NVP1	DDX18	0.00363462371255523	22737.5183249081	10137.7592773438	1.16519368611517	0.0180451151326769
Q9HCE6	ARHGEF10L	0.00364114130970686	29257.0042509191	21103.4809570313	0.471232705225057	0.0180607351815737
O43815	STRN	0.00364579637963554	56874.9764476103	23343.5322265625	1.28470936235489	0.0180670963975093
P51606	RENBP	0.00368758715395753	71021.8060087316	13643.2998046875	2.37996368643009	0.0182459574084971
Q96EM0	L3HYPDH	0.00368870111506485	71826.0244715074	43449.3666992188	0.725138312692943	0.0182459574084971
Q14938	NFIX	0.0037017552074936	95587.4193474265	40105.1577148438	1.25299699324273	0.0182767766327587
Q15555	MAPRE2	0.00370025706788253	84941.11328125	133087.408203125	-0.647849997575674	0.0182767766327587
O95428	PAPLN	0.00370566211523432	14621.899313534	5090.17321777344	1.52206066593875	0.0182792191080205
Q8WWM9	CYGB	0.00371102744733842	37614.2524126838	19678.951171875	0.934552775734612	0.0182888445587782
Q99426	TBCB	0.00371743612942374	153114.799172794	89402.580078125	0.776209222987777	0.0183035894718042
O14983	ATP2A1	0.00372114543101229	34772185.2352941	70878556	-1.02741549755715	0.0183050285343736
O00401	WASL	0.00372624266062315	44897.5089039522	22778.9736328125	0.978869323442245	0.0183132861770259
P23219	PTGS1	0.00374667692445716	21764.3386517693	8203.92883300781	1.40740345651172	0.0183968361909414
P52948	NUP98	0.00375801957319604	28129.1104090074	20836.7553710938	0.432864047886939	0.0184019294822771
Q92538	GBF1	0.003752692773979	31150.4658777574	20301.076171875	0.617626469213058	0.0184019294822771
Q9BXJ9	NAA15	0.00375763232053135	69018.2545955882	50984.525390625	0.4368902606636	0.0184019294822771
P11217	PYGM	0.00376329153637001	33119852.3235294	71195157	-1.1040828863976	0.0184109157628622
Q9BZL4	PPP1R12C	0.00379884284631142	12926.3777286305	3345.15795898438	1.94974059904452	0.0185678842405933
Q8TDC0	MYOZ3	0.00381091818323047	493145.550321691	1215852.359375	-1.30188381855357	0.0186099258956843
P14780	MMP9	0.00382327926795721	10895.6795510685	3606.71087646484	1.59460054837516	0.0186532850987676
Q9H3U7	SMOC2	0.00384357550550417	80436.5990349265	36524.2785644531	1.13895680793236	0.0187352447524894
Q9Y5X1	SNX9	0.00387245927623878	101379.815487132	44881.76171875	1.17553708784884	0.0188588766752828
P17174	GOT1	0.00388861153680601	7481745.82352941	14493187.75	-0.953928188136537	0.0189203378770843
Q99536	VAT1	0.00389414577421209	800038.443014706	196343.48046875	2.02668228296639	0.0189300716083976
P14866	HNRNPL	0.00390363636319319	237806.766544118	139385.25390625	0.770701474568756	0.018931207569563
P25098	GRK2	0.00390498121418091	50397.6101792279	31122.6674804688	0.695343252336402	0.018931207569563
Q9P265	DIP2B	0.00390204463883409	4950.93914076861	405.931610107422	3.60484395791274	0.018931207569563
O00232	PSMD12	0.00394384824527737	279800.284926471	238480.625	0.230519320714108	0.0191023463381111
Q96Q89	KIF20B	0.00395145011194801	11758420.6819853	19661910.5	-0.741709285679827	0.0191218773710077
P49755	TMED10	0.00396296295752291	232725.858455882	146265.65234375	0.670030635520388	0.0191449991638655
P55291	CDH15	0.00396337578359657	24681.6119600184	11231.8359375	1.13571441139627	0.0191449991638655
Q16204	CCDC6	0.00396834877034628	39349.7462086397	8378.52856445313	2.23141334617703	0.0191482309116408
Q7KZN9	COX15	0.00397119367982695	54972.0227481618	7079.3740234375	2.95680008735097	0.0191482309116408
Q7Z2Z2	EFL1	0.00397741074917071	37021.1719898897	29388.005859375	0.333074009911144	0.0191609616756363
Q53GT1	KLHL22	0.0039810491071078	32408.2233455882	24841.181640625	0.383568056082253	0.0191612579216321
P11908	PRPS2	0.00399468914036898	31063.5298138787	6997.06677246094	2.15019344018113	0.0192096496633363
Q9BUK6	MSTO1	0.00401403702729655	10805.261316636	2375.50109863281	2.18482298935284	0.0192853778970651
P00973	OAS1	0.00401862453718719	9004.6276029699	1722.87261962891	2.38501343824069	0.0192901179621073
Q12846	STX4	0.0040239001575023	77304.2980238971	49846.1611328125	0.633037285034906	0.0192981496362935
Q86TV6	TTC7B	0.00403836582542678	18617.6327550551	10348.2841796875	0.847138659390813	0.0193502019023357
P56182	RRP1	0.00404408798019357	11485.0219726563	3781.73199462891	1.60225314619018	0.0193603032260026
P41250	GARS1	0.00405063044490832	190073.820772059	125802.185546875	0.595391386415271	0.0193743100833695
Q9H201	EPN3	0.00407698410107497	12721.2398897059	7058.42559814453	0.849616585228767	0.019482965057501
O94874	UFL1	0.00408518921098417	104764.002757353	67281.6826171875	0.638835954124033	0.0195047759387185
O43760	SYNGR2	0.00409484540324055	66373.9662224265	14143.572265625	2.23036893601044	0.0195334700134992
P52434	POLR2H	0.00410071526484274	8324.37310431985	5.17378997802734	10.3969695080778	0.0195440673254115
Q86X83	COMMD2	0.00410470581316396	23090.6830193015	11250.0793457031	1.03724743884865	0.0195456969254394
O14907	TAX1BP3	0.0041133274570373	37841.8314568015	5222.41186523438	2.85691754386477	0.0195693562942707
P84103	SRSF3	0.0041262564180414	739104.952205882	360685.671875	1.03503312673364	0.0196134477652598
O95793	STAU1	0.00413714953586168	13314.5037339154	7071.10687255859	0.91278667477931	0.0196477926095842
P31937	HIBADH	0.00416631710935448	641868.689338235	1051257.671875	-0.711767608913552	0.0197253654862577
P35579	MYH9	0.00416309212128098	2124288.54595588	550821.1640625	1.94732122620271	0.0197253654862577
Q07955	SRSF1	0.00416821238201302	389287.428308824	223821.65625	0.79847967565181	0.0197253654862577
Q8NB37	GATD1	0.00415992257362716	30099.1883042279	12958.4333496094	1.21572194397337	0.0197253654862577
O75600	GCAT	0.00417356790957515	8205.37755629596	1022.71783447266	3.00275159573115	0.0197332773977
P09668	CTSH	0.00417862573162359	26086.7284294577	491.161773681641	5.7280396073217	0.0197346200806735
Q99543	DNAJC2	0.00418121967361665	74050.0109145221	26182.1016845703	1.499863937205	0.0197346200806735
O95486	SEC24A	0.00421853807831647	12415.3926068474	3445.97601413727	1.84872671916148	0.0198757330567646
Q15382	RHEB	0.00421710212514381	55209.6059283088	26038.7421875	1.08420413874989	0.0198757330567646
O60706	ABCC9	0.00422539982136463	19039.428136489	25953.9521484375	-0.447019681054853	0.0198905684033834
Q6PI78	TMEM65	0.00423049535659088	94536.8377757353	49387.4926757813	0.936701669154495	0.0198970707860029
P62847	RPS24	0.00423993815638973	263385.536764706	186839.5	0.495368914333986	0.0199239900910349
Q92692	NECTIN2	0.0042578750343608	26744.4458869485	11751.2764892578	1.18629907018339	0.0199907419448473
Q7Z4Q2	HEATR3	0.00426414529387436	9505.30603745404	6038.859375	0.654218117409928	0.0200026500344001
Q9UH90	FBXO40	0.00426930022347283	13408.9734030331	8253.17785644531	0.700002357911543	0.0200093099712545
O60841	EIF5B	0.00427717921838751	59397.2764246324	43707.25	0.442491163512506	0.0200192758026606
P08754	GNAI3	0.00427890065223938	93594.1055261948	21821.4658203125	2.10060354542551	0.0200192758026606
Q9Y6E2	BZW2	0.00429145665441613	635152.295955883	1030463.484375	-0.698120316379409	0.0200605002597794
P16403	H1-2	0.00432846233008311	712893.288602941	107027.264648438	2.73569429678142	0.0201982340611979
Q9BV79	MECR	0.00432480766740316	67192.2497702206	111198.212890625	-0.726779834818125	0.0201982340611979
P62318	SNRPD3	0.00435361873442569	318878.917738971	163271.08203125	0.965730593958264	0.0202833642946263
Q7L311	ARMCX2	0.00435427831600153	27927.4318704044	8741.18041992188	1.67561785577501	0.0202833642946263
P63027;Q15836	VAMP2;VAMP3	0.00436519840485814	123958.836626838	82442.740234375	0.588379257798997	0.0202990997036472
Q6YP21	KYAT3	0.00436523480653379	70025.0147058824	27538.4995117188	1.34636804034335	0.0202990997036472
P17655	CAPN2	0.00438597104866937	1145059.48529412	664459.1796875	0.785167899390686	0.0203778377343641
P28072	PSMB6	0.00439082529035908	247764.547334559	460669.0078125	-0.894763906702499	0.0203827132412943
Q9H0N5	PCBD2	0.00440120824217927	123837.854549632	232376.33203125	-0.908016960845208	0.0204132229899172
P15144	ANPEP	0.00442710728807551	140691.572840074	48946.18359375	1.52323816135955	0.0205155828219901
P36269	GGT5	0.00444039280667835	85872.6154641544	20641.4494628906	2.05658396011223	0.0205238863376841
Q00839	HNRNPU	0.00443930997349054	832925.224264706	411697.6796875	1.01659816171467	0.0205238863376841
Q9BZE4	GTPBP4	0.00443778058519442	24390.4837431066	9439.36999511719	1.36940306262622	0.0205238863376841
Q9NYL2	MAP3K20	0.00445802877491707	226353.253676471	346053.984375	-0.612425240123048	0.0205876380579575
Q16401	PSMD5	0.00447408568552142	107356.49609375	65388.9677734375	0.715268273287547	0.0206439939856488
Q01814	ATP2B2	0.00449297799313647	12318.9164464614	27159.2861328125	-1.14062331410558	0.0207133245346231
P00387	CYB5R3	0.00450334739943314	3035944.93382353	1484014.3125	1.03263964510857	0.0207423941808743
Q8WXF1	PSPC1	0.00450702759502289	38134.5088465074	21744.3186035156	0.810392271948818	0.0207423941808743
P51153	RAB13	0.00452233602873264	80575.5377987132	6909.17578125	3.54354759702557	0.0207888221683862
Q9BYN8	MRPS26	0.0045248771044126	28947.5419347427	9576.3173828125	1.59574733054486	0.0207888221683862
P05067	APP	0.00454297851592887	5330.72404210708	0.798003315925598	11.5337201025544	0.0208541010367018
Q96QZ7	MAGI1	0.00456146020760076	3296.48206284467	215.252502441406	3.93013849863287	0.0208922577145331
Q9BU23	LMF2	0.00456299076460775	18836.7314309513	2614.56628417969	2.84835341209273	0.0208922577145331
Q9C0D3	ZYG11B	0.00455850302444525	12280.0478515625	21701.8120117188	-0.82156580088216	0.0208922577145331
Q6P1A2	LPCAT3	0.00458923588140157	128265.245404412	64314.5107421875	0.995891698235775	0.0209944804582991
Q12802	AKAP13	0.00460113072610764	28143.6657858456	11582.7806396484	1.28070406791575	0.0210309362625927
Q96PU8	QKI	0.00460814206150553	59572.5689338235	31416.29296875	0.923089295423913	0.0210450273004988
Q8NFH4	NUP37	0.00463056938415106	15810.8269761029	4968.41040039063	1.66976623162952	0.0211294379820249
Q99460	PSMD1	0.00465768593140976	378231.240808824	304977.1015625	0.310562874542002	0.0212350838592018
O75063	FAM20B	0.004665910799408	7055.26753504136	555.396606445313	3.66451526492731	0.0212544933268951
Q99613	EIF3C	0.00469253224253021	234921.503676471	167486.68359375	0.488123768150897	0.0213576000197403
Q9H270	VPS11	0.00469818977174489	9394.80896714154	3823.79620361328	1.29648094754507	0.0213651974594545
O14974	PPP1R12A	0.00471216685669115	86685.4855238971	38603.5087890625	1.16702109518301	0.0213806085999592
Q13045	FLII	0.00471308214929352	134856.418658088	83991.892578125	0.683085031774703	0.0213806085999592
Q8NI37	PPTC7	0.00471559767173496	25574.0568129596	41486.1513671875	-0.697983567356075	0.0213806085999592
Q9UPN7	PPP6R1	0.00471754328264919	37738.4613970588	16858.9948730469	1.16243150766497	0.0213806085999592
Q16647	PTGIS	0.00472961919195743	52034.4786879596	11986.3742675781	2.11795220437641	0.021399130077125
Q9NRL3	STRN4	0.00472920953866242	5583.96684713925	322.739501953125	4.10838506032561	0.021399130077125
P07384	CAPN1	0.00473690337370326	1371994.60661765	1211261.1875	0.179763628363728	0.0214140011585893
Q9H0C8	ILKAP	0.00476002661797435	40954.9134880515	26336.23828125	0.63693247410479	0.0215003900442568
O00192	ARVCF	0.00478669115917997	25313.7900965074	16124.5068359375	0.650579024364477	0.0215844314307467
Q9BPW8	NIPSNAP1	0.00478604546624892	36850.7387982537	9876.02233886719	1.89954546528038	0.0215844314307467
Q9BWH6	RPAP1	0.00483088157630289	11305.1180204504	5277.01220703125	1.09890946081058	0.0217653764543773
P82921	MRPS21	0.00483997391713069	27578.3351332721	9928.93969726562	1.47367850426976	0.0217880170370329
P13928;Q5VT79	ANXA8;ANXA8L1	0.00487589824396469	9169.98404469209	287.908172607422	4.98823630319113	0.0219129084672138
Q9Y3I0	RTCB	0.0048750439993739	308096.009191176	224782.08203125	0.454846537756427	0.0219129084672138
Q68E01	INTS3	0.00492032248564685	6679.55531939338	2300.46264648438	1.53720103347978	0.0220940214212994
P26006	ITGA3	0.00493430140180462	24531.0864257813	3295.45751953125	2.89562273396842	0.0221382350163043
Q9NQC7	CYLD	0.00494476511910385	14337.5018956801	5879.83129882813	1.28570166682991	0.0221666165213718
Q07954	LRP1	0.00495110630352848	70076.8965992647	25495.4831542969	1.45864062234105	0.0221764853411388
Q9BWN1	PRR14	0.00495570762419457	6028.74134018842	1484.35003662109	2.02105387700577	0.0221785511635842
